"","Time","raw richness","Good's u","subsampled richness","subsampled u","Chao 1","subsampled Chao 1","k","Fisher's alpha","Shannon's H","Hurlbert's PIE","dominance","specimens","singletons","doubletons","specimens drawn"
"bin_1_6",1,1492,0.9673455532926,396.916582143325,0.693288439995496,2067.52487562189,824.485211140159,0.00278715281043866,414.689097367384,6.26419329013401,0.996599721499525,0.0234215885947047,14730,481,201,796.692509964314
"bin_6_11",6,1339,0.943805455142951,407.031264454983,0.692063102157622,1974.67391304348,869.299338995918,0.00272009631875996,432.507309387873,6.19387145078796,0.995978482129548,0.0254135173622522,9129,513,207,832.383253059569
"bin_11_16",11,1687,0.958547096244613,461.662730641583,0.694200223802074,2436.4612244898,936.704985717473,0.00239686576231153,492.833651697867,6.42440383320301,0.997347181600891,0.0164169915862918,14619,606,245,920.752848512529
"bin_16_21",16,1211,0.942300092214465,437.753167168007,0.689534424649223,1715.85263157895,831.133147418938,0.00304479313782439,406.457841363357,6.37456681372467,0.997911275358615,0.0188380977473324,7591,438,190,834.671119504995
"bin_21_26",21,1313,0.917488648817911,537.902771476566,0.690144953026214,1980.61778846154,1056.00831327651,0.00251707351092862,500.949281400079,6.51463666030976,0.998239766521038,0.0131517144199155,6387,527,208,1042.09469131502
"bin_26_31",26,986,0.927842700797626,371.696872094343,0.689950283673334,1507.79655172414,743.048476172494,0.00349307909707774,353.717080404509,6.13451904931103,0.996868522310236,0.0241142645149323,5391,389,145,730.466246847228
"bin_31_36",31,920,0.936553945249597,270.011313808209,0.695668907219639,1508.01515151515,559.515361648346,0.00403993104133583,298.497571916638,5.8466391596497,0.995108986880481,0.0262479871175523,6210,394,132,544.436864606093
"bin_36_41",36,953,0.938393297190734,323.709902161314,0.692400961725526,1441.28125,622.317524520101,0.00392600553319606,317.082189621173,6.08251416688429,0.997217977848272,0.0131427632659767,6087,375,144,623.844382845542
"bin_41_46",41,756,0.90814313891237,308.699919427758,0.691854263479346,1239.07272727273,624.714563961908,0.00425248537280405,294.178496863132,5.89639031025345,0.996136940976834,0.0211327134404057,3549,326,110,615.070814271409
"bin_46_51",46,996,0.941833590138675,209.389816261642,0.696842329282426,1723.6914893617,501.848101056808,0.00366966111994573,303.307196007049,5.54389961337165,0.990193375291124,0.0491782229070365,7788,453,141,446.049711115814
"bin_51_56",51,602,0.916498993963783,89.0927210359187,0.696606136202423,1207.62637362637,301.051495744279,0.00491876067189826,197.248692394784,4.64424567926196,0.971148346690016,0.0963279678068411,3976,332,91,204.195814175071
"bin_56_61",56,577,0.875826251180359,283.234288270323,0.690216127567652,900.219626168224,594.807395422267,0.004881463490444,261.160801197134,5.72212466445529,0.995746136817199,0.0264400377714825,2118,263,107,567.660178957481
"bin_61_66",61,286,0.920502092050209,123.30095252251,0.690211891752279,477.117647058824,220.943769975976,0.0120429405245334,107.341528959872,5.11043426051713,0.994787174710311,0.0244072524407252,1434,114,34,228.034346966276
"bin_66_71",66,211,0.816164817749604,126.967002565172,0.704525065739026,383.512820512821,285.404240914717,0.0118656212308726,111.114472339145,4.76706186791193,0.989961538650134,0.0475435816164818,631,116,39,267.673174851655
"bin_71_76",71,67,0.696,NA,NA,118.571428571429,NA,0.0257195445238355,58.767952420881,4.00368965381626,0.992347151515152,0.056,125,38,14,0
"bin_76_81",76,57,0.703703703703704,NA,NA,96.3846153846154,NA,0.0307387676227748,48.8808436799432,3.83209228752586,0.990455981775426,0.0648148148148148,108,32,13,0
"bin_81_86",81,59,0.704347826086956,NA,NA,111.545454545455,NA,0.0309799962115196,48.6181617204777,3.84860160283494,0.9900893031745,0.0608695652173913,115,34,11,0
"bin_86_91",86,28,0.672413793103448,NA,NA,118.25,NA,0.0693480003310912,21.3008376574704,3.00741938365434,0.967983441229577,0.155172413793103,58,19,2,0
"bin_91_96",91,38,0.707317073170732,NA,NA,134,NA,0.0538831778784318,27.50346048367,3.34398282511218,0.980288438349116,0.109756097560976,82,24,3,0
"bin_96_101",96,48,0.533333333333333,NA,NA,150.083333333333,NA,0.0277616596734452,57.4967717560111,3.67624307311991,0.988777304964539,0.08,75,35,6,0
"bin_101_106",101,32,0.631578947368421,NA,NA,87.125,NA,0.0517475011147985,30.1436374397587,3.24794970101016,0.982376711444713,0.105263157894737,57,21,4,0
"bin_106_111",106,31,0.511111111111111,NA,NA,71.3333333333333,NA,0.0379007602891448,44.0218527867673,3.3021300915107,0.988938271604938,0.0888888888888889,45,22,6,0
"bin_111_116",111,43,0.467741935483871,NA,NA,133.75,NA,0.0259394827608285,62.1289599491979,3.5875454376733,0.988120013874436,0.0967741935483871,62,33,6,0
"bin_116_121",116,38,0.38,NA,NA,134.1,NA,0.022459007730169,72.2597353282647,3.4924656956887,0.987589189189189,0.12,50,31,5,0
"bin_121_126",121,61,0.472527472527473,NA,NA,225.571428571429,NA,0.0184604805462132,81.0148642882859,3.86901540500906,0.986342229199372,0.0879120879120879,91,48,7,0
"bin_126_131",126,24,0.575,NA,NA,72.1666666666667,NA,0.0610656075850782,25.3323582668247,2.94095182153306,0.970434782608696,0.175,40,17,3,0
