"rank" "probability" "cumulative" "Core_shifts"
"48" 48 0.001 0.945 4
"49" 49 0.001 0.946 4
"50" 50 0.001 0.947 4
"51" 51 0.001 0.948 5
"52" 52 0.001 0.949 3
"53" 53 0.001 0.95 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.19 0.19 2
"2" 2 0.146 0.336 2
"3" 3 0.142 0.478 3
"4" 4 0.101 0.579 3
"5" 5 0.064 0.643 3
"6" 6 0.044 0.687 4
"7" 7 0.041 0.728 3
"8" 8 0.03 0.758 4
"9" 9 0.029 0.787 0
"10" 10 0.012 0.799 2
"11" 11 0.012 0.811 1
"12" 12 0.012 0.823 2
"13" 13 0.011 0.834 4
"14" 14 0.01 0.844 3
"15" 15 0.008 0.852 4
"16" 16 0.006 0.858 2
"17" 17 0.005 0.863 3
"18" 18 0.005 0.868 4
"19" 19 0.005 0.873 3
"20" 20 0.004 0.877 3
"21" 21 0.004 0.881 3
"22" 22 0.004 0.885 3
"23" 23 0.004 0.889 3
"24" 24 0.004 0.893 4
"25" 25 0.003 0.896 3
"26" 26 0.003 0.899 3
"27" 27 0.003 0.902 4
"28" 28 0.003 0.905 3
"29" 29 0.003 0.908 3
"30" 30 0.003 0.911 3
"31" 31 0.003 0.914 3
"32" 32 0.003 0.917 5
"33" 33 0.002 0.919 3
"34" 34 0.002 0.921 3
"35" 35 0.002 0.923 4
"36" 36 0.002 0.925 3
"37" 37 0.002 0.927 4
"38" 38 0.002 0.929 3
"39" 39 0.002 0.931 3
"40" 40 0.002 0.933 4
"41" 41 0.002 0.935 4
"42" 42 0.002 0.937 2
"43" 43 0.002 0.939 2
"44" 44 0.002 0.941 4
"45" 45 0.001 0.942 2
"46" 46 0.001 0.943 3
"47" 47 0.001 0.944 4
"48" 48 0.001 0.945 4
"49" 49 0.001 0.946 4
"50" 50 0.001 0.947 4
"51" 51 0.001 0.948 5
"52" 52 0.001 0.949 3
"53" 53 0.001 0.95 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.19 0.19 2
"2" 2 0.146 0.336 2
"3" 3 0.142 0.478 3
"4" 4 0.101 0.579 3
"5" 5 0.064 0.643 3
"6" 6 0.044 0.687 4
"7" 7 0.041 0.728 3
"8" 8 0.03 0.758 4
"9" 9 0.029 0.787 0
"10" 10 0.012 0.799 2
"11" 11 0.012 0.811 1
"12" 12 0.012 0.823 2
"13" 13 0.011 0.834 4
"14" 14 0.01 0.844 3
"15" 15 0.008 0.852 4
"16" 16 0.006 0.858 2
"17" 17 0.005 0.863 3
"18" 18 0.005 0.868 4
"19" 19 0.005 0.873 3
"20" 20 0.004 0.877 3
"21" 21 0.004 0.881 3
"22" 22 0.004 0.885 3
"23" 23 0.004 0.889 3
"24" 24 0.004 0.893 4
"25" 25 0.003 0.896 3
"26" 26 0.003 0.899 3
"27" 27 0.003 0.902 4
"28" 28 0.003 0.905 3
"29" 29 0.003 0.908 3
"30" 30 0.003 0.911 3
"31" 31 0.003 0.914 3
"32" 32 0.003 0.917 5
"33" 33 0.002 0.919 3
"34" 34 0.002 0.921 3
"35" 35 0.002 0.923 4
"36" 36 0.002 0.925 3
"37" 37 0.002 0.927 4
"38" 38 0.002 0.929 3
"39" 39 0.002 0.931 3
"40" 40 0.002 0.933 4
"41" 41 0.002 0.935 4
"42" 42 0.002 0.937 2
"43" 43 0.002 0.939 2
"44" 44 0.002 0.941 4
"45" 45 0.001 0.942 2
"46" 46 0.001 0.943 3
"47" 47 0.001 0.944 4
"48" 48 0.001 0.945 4
"49" 49 0.001 0.946 4
"50" 50 0.001 0.947 4
"51" 51 0.001 0.948 5
"52" 52 0.001 0.949 3
"53" 53 0.001 0.95 2
