generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,1
3000,3,4,1
4000,2,4,1
5000,2,4,1
6000,3,4,1
7000,3,4,1
8000,1,3,1
9000,3,4,1
10000,1,4,1
11000,2,4,1
12000,1,2,1
13000,1,2,1
14000,2,3,1
15000,3,4,1
16000,3,4,1
17000,1,2,1
18000,1,4,1
19000,2,3,1
20000,1,2,1
21000,3,4,1
22000,1,3,1
23000,3,4,1
24000,2,4,1
25000,1,2,1
26000,1,4,1
27000,3,4,1
28000,2,4,1
29000,1,2,1
30000,1,2,1
31000,2,4,1
32000,1,3,1
33000,1,4,1
34000,1,4,1
35000,2,3,1
36000,3,4,1
37000,1,4,1
38000,2,3,1
39000,1,3,1
40000,1,3,1
41000,2,3,1
42000,1,2,1
43000,2,4,1
44000,3,4,1
45000,1,2,1
46000,2,4,1
47000,2,4,1
48000,1,4,1
49000,2,3,1
50000,3,4,1
51000,3,4,1
52000,2,4,1
53000,3,4,1
54000,1,3,1
55000,1,2,1
56000,1,3,1
57000,2,3,1
58000,2,3,1
59000,1,2,1
60000,1,2,1
61000,2,3,1
62000,1,3,0
63000,1,4,1
64000,2,4,1
65000,1,3,1
66000,3,4,1
67000,2,3,0
68000,2,4,1
69000,3,4,1
70000,2,3,1
71000,3,4,1
72000,2,4,1
73000,1,2,1
74000,1,3,1
75000,2,4,1
76000,3,4,1
77000,1,4,1
78000,2,3,1
79000,1,4,1
80000,2,4,1
81000,1,3,1
82000,2,4,1
83000,3,4,1
84000,2,3,1
85000,3,4,1
86000,2,4,1
87000,2,4,1
88000,3,4,1
89000,3,4,1
90000,1,3,1
91000,1,3,1
92000,1,2,1
93000,1,2,1
94000,3,4,1
95000,1,4,1
96000,1,4,1
97000,2,3,1
98000,2,4,1
99000,2,4,1
100000,1,4,1
101000,2,3,1
102000,1,4,1
103000,1,4,1
104000,2,4,1
105000,1,2,1
106000,2,3,1
107000,1,4,1
108000,1,3,0
109000,1,4,1
110000,1,2,1
111000,1,4,1
112000,2,3,1
113000,2,4,1
114000,1,3,1
115000,3,4,1
116000,1,2,1
117000,2,4,1
118000,1,4,1
